year,sector,count
2014,Public Sector,861
2014,Private Sector,531
2014,Not in Active Practice,2
2015,Public Sector,877
2015,Private Sector,606
2015,Not in Active Practice,66
2016,Public Sector,899
2016,Private Sector,682
2016,Not in Active Practice,112
2017,Public Sector,882
2017,Private Sector,765
2017,Not in Active Practice,167
2018,Public Sector,960
2018,Private Sector,804
2018,Not in Active Practice,203
2019,Public Sector,943
2019,Private Sector,834
2019,Not in Active Practice,243
2020,Public Sector,1016
2020,Private Sector,876
2020,Not in Active Practice,237
2021,Public Sector,1085
2021,Private Sector,960
2021,Not in Active Practice,215
2022,Public Sector,1141
2022,Private Sector,1058
2022,Not in Active Practice,234
